City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Palmer,US,87.24,broken clouds,42.1584,-72.3287,Wedgewood Motel
254,Ormara,PK,80.91,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
256,Englewood,US,84.97,broken clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
258,Bac Lieu,VN,78.06,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
259,Leticia,CO,78.85,heavy intensity rain,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
262,La Asuncion,VE,85.73,clear sky,11.0333,-63.8628,Colinas de Matasiete
266,Sidi Bin Nur,TN,82.31,clear sky,35.5333,10.9167,Chalet El Aila
267,Mabaruma,GY,76.91,broken clouds,8.2,-59.7833,Monty Brooms Guest House
268,Lorengau,PG,83.28,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
274,Grand-Santi,GF,77.77,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
275,Jalu,LY,79.7,clear sky,29.0331,21.5482,صاحبة الفخامة
278,Tautira,PF,75.11,light rain,-17.7333,-149.15,Pension Oaoa
283,Durham,US,88.34,broken clouds,36.0335,-78.8664,Hampton Inn & Suites Durham/North I-85
284,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
288,Billings,US,87.3,clear sky,45.7833,-108.5007,Best Western Plus Clocktower Inn
290,Sestri Levante,IT,80.51,broken clouds,44.2732,9.3968,Grande Albergo
291,Manadhoo,MV,80.26,overcast clouds,5.7667,73.3833,Bon Abri maldives
295,Miracema Do Tocantins,BR,84.18,scattered clouds,-9.5618,-48.3967,Miami Apart Hotel
296,Aparecida Do Taboado,BR,82.2,overcast clouds,-20.0867,-51.0936,Aritana
301,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
303,Luwuk,ID,77.05,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
305,Mocajuba,BR,81.14,broken clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
309,Muroto,JP,83.77,broken clouds,33.2833,134.15,Oota Ryokan
317,Owando,CG,76.03,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
321,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
325,Cassilandia,BR,81.09,overcast clouds,-19.1133,-51.7342,Delirius Motel
326,Wanning,CN,80.28,overcast clouds,18.8003,110.3967,Paradise Hotel
327,Cocorit,MX,89.94,broken clouds,27.5833,-109.9667,Kaba Motel
328,Buala,SB,83.07,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
335,Nipawin,CA,75.24,clear sky,53.3668,-104.0009,Tobin Lake Motel
342,Touros,BR,75.25,clear sky,-5.1989,-35.4608,INN NEW HORIZON
345,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
346,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
347,Hun,LY,81.95,clear sky,29.1268,15.9477,Alrwasi Hotel
348,Boqueron,PR,85.14,few clouds,18.0269,-67.1691,Parador Boquemar
350,Pemangkat,ID,76.46,broken clouds,1.1667,108.9667,Hotel Duyung Permai 2
352,Matara,LK,76.86,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
357,Dong Hoi,VN,79.32,moderate rain,17.4833,106.6,Nam Long Hotel
359,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
360,Manzil Kamil,TN,81.84,clear sky,35.6248,10.6673,Boukarra Ali
362,Cozumel,MX,82.0,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
368,Korla,CN,81.01,clear sky,41.7597,86.1469,Gulisitan Hotel
