City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Semey,KZ,2022-08-07 22:08:47,50.4111,80.2275,66.43,42,48,4.25
67,Areka,ET,2022-08-07 22:08:47,7.0667,37.7,60.48,86,98,2.15
68,Slave Lake,CA,2022-08-07 22:08:48,55.2834,-114.769,75.13,42,1,11.95
69,Esperance,AU,2022-08-07 22:08:48,-33.8667,121.9,48.63,85,0,13.38
70,Okhotsk,RU,2022-08-07 22:08:48,59.3833,143.3,55.45,83,100,9.78
71,Port Alfred,ZA,2022-08-07 22:08:49,-33.5906,26.891,62.19,98,96,4.0
72,Malpe,IN,2022-08-07 22:08:49,13.35,74.7167,76.3,89,100,16.37
73,Pacific Grove,US,2022-08-07 22:08:50,36.6177,-121.9166,81.39,73,0,12.66
74,Hualmay,PE,2022-08-07 22:08:50,-11.0964,-77.6139,63.63,78,58,12.77
75,Guerrero Negro,MX,2022-08-07 22:08:50,27.9769,-114.0611,86.31,55,95,14.63
76,Morehead,US,2022-08-07 22:05:46,37.2711,-87.1764,74.95,83,0,0.0
77,Kapaa,US,2022-08-07 22:08:51,22.0752,-159.319,82.72,78,75,11.5
78,Makakilo City,US,2022-08-07 22:03:53,21.3469,-158.0858,86.32,53,0,13.8
79,Tiarei,PF,2022-08-07 22:08:51,-17.5333,-149.3333,80.62,73,74,24.49
80,Nikolskoye,RU,2022-08-07 22:08:52,59.7035,30.7861,58.89,79,11,4.09
81,Zonguldak,TR,2022-08-07 22:06:09,41.25,31.8333,61.18,95,0,2.82
82,Kahului,US,2022-08-07 22:08:52,20.8947,-156.47,91.42,43,20,14.97
83,Norman Wells,CA,2022-08-07 22:08:53,65.282,-126.8329,62.04,58,100,5.17
84,Abu Dhabi,AE,2022-08-07 22:08:46,24.4667,54.3667,98.71,45,0,2.3
85,San Quintin,MX,2022-08-07 22:08:53,30.4833,-115.95,78.08,71,87,6.24
86,Padang,ID,2022-08-07 22:08:54,-0.9492,100.3543,75.25,85,84,2.71
87,Vitim,RU,2022-08-07 22:08:54,59.4511,112.5578,49.59,98,100,3.6
88,Lagoa,PT,2022-08-07 22:08:54,39.05,-27.9833,73.81,82,14,17.6
89,Mar Del Plata,AR,2022-08-07 22:08:55,-38.0023,-57.5575,46.09,81,75,9.22
90,Punta Arenas,CL,2022-08-07 22:04:16,-53.15,-70.9167,39.31,75,20,12.66
91,Mayumba,GA,2022-08-07 22:08:55,-3.432,10.6554,67.37,90,55,2.59
92,Torrington,US,2022-08-07 22:05:22,41.8007,-73.1212,89.69,67,93,1.99
93,Hami,CN,2022-08-07 22:08:56,42.8,93.45,83.05,25,29,10.78
94,Korablino,RU,2022-08-07 22:09:56,53.9164,40.0133,67.71,49,5,4.52
95,Jardim,BR,2022-08-07 22:09:56,-21.4803,-56.1381,72.27,70,100,1.92
96,San Ignacio,BZ,2022-08-07 22:09:57,17.1561,-89.0714,77.14,94,0,0.0
97,Broome,US,2022-08-07 22:09:57,42.2506,-75.833,88.2,63,20,11.5
98,Bluff,NZ,2022-08-07 22:09:58,-46.6,168.3333,37.8,60,43,19.48
99,Touros,BR,2022-08-07 22:09:58,-5.1989,-35.4608,75.79,77,7,11.9
100,Erenhot,CN,2022-08-07 22:09:59,43.6475,111.9767,66.36,54,75,8.08
101,Longyearbyen,SJ,2022-08-07 22:09:59,78.2186,15.6401,46.24,93,75,10.36
102,New Norfolk,AU,2022-08-07 22:09:59,-42.7826,147.0587,34.72,89,12,2.62
103,Zapolyarnyy,RU,2022-08-07 22:10:00,69.4154,30.8136,47.48,88,96,17.76
104,Dukat,RU,2022-08-07 22:10:00,62.55,155.55,66.94,57,89,4.32
105,Clyde River,CA,2022-08-07 22:10:01,70.4692,-68.5914,42.84,78,91,4.34
106,Mae Sai,TH,2022-08-07 22:10:01,20.4335,99.8762,72.54,100,100,1.3
107,Thompson,CA,2022-08-07 22:10:01,55.7435,-97.8558,75.65,37,74,13.6
108,La Rioja,ES,2022-08-07 22:07:53,42.25,-2.5,67.78,65,34,1.72
109,California City,US,2022-08-07 22:10:04,35.1258,-117.9859,104.09,14,0,5.75
110,Hobyo,SO,2022-08-07 22:10:08,5.3505,48.5268,75.18,84,1,26.69
111,Iaciara,BR,2022-08-07 22:10:09,-14.0958,-46.6317,81.14,27,12,1.16
112,Hithadhoo,MV,2022-08-07 22:10:09,-0.6,73.0833,81.61,70,99,3.76
113,Najran,SA,2022-08-07 22:10:10,17.4924,44.1277,82.27,44,9,7.18
114,Halifax,CA,2022-08-07 22:07:02,44.6453,-63.5724,84.52,74,72,4.0
115,Sladkovo,RU,2022-08-07 22:10:10,55.5284,70.3385,57.31,88,77,7.52
116,Songea,TZ,2022-08-07 22:10:11,-10.6833,35.65,56.21,64,15,0.85
117,Faanui,PF,2022-08-07 22:10:11,-16.4833,-151.75,77.11,70,82,24.87
118,Airai,TL,2022-08-07 22:10:11,-8.9266,125.4092,57.42,57,15,3.02
119,Geraldton,AU,2022-08-07 22:10:12,-28.7667,114.6,52.21,93,100,12.66
120,Butaritari,KI,2022-08-07 22:10:12,3.0707,172.7902,82.0,70,100,15.61
121,Galesong,ID,2022-08-07 22:08:08,-5.3166,119.3661,71.62,83,65,7.99
122,Narsipatnam,IN,2022-08-07 22:10:13,17.6667,82.6167,76.23,93,100,5.73
123,Port Macquarie,AU,2022-08-07 22:06:00,-31.4333,152.9167,55.89,75,37,13.02
124,Avarua,CK,2022-08-07 22:10:14,-21.2078,-159.775,75.25,64,75,20.71
125,Katsuura,JP,2022-08-07 22:10:14,35.1333,140.3,81.79,84,5,13.71
126,Monticello,US,2022-08-07 22:10:15,45.3055,-93.7941,75.15,74,100,9.22
127,Provideniya,RU,2022-08-07 22:10:15,64.3833,-173.3,42.91,87,100,17.9
128,Port-Gentil,GA,2022-08-07 22:10:15,-0.7193,8.7815,71.56,88,20,4.61
129,Axim,GH,2022-08-07 22:10:16,4.8699,-2.2405,73.98,79,10,9.8
130,Yandyki,RU,2022-08-07 22:10:16,45.7691,47.1258,73.96,55,0,7.74
131,Venezuela,VE,2022-08-07 22:09:04,8.0,-66.0,87.04,60,54,11.23
132,Lompoc,US,2022-08-07 22:10:17,34.6391,-120.4579,87.69,64,0,23.0
133,Port Blair,IN,2022-08-07 22:10:18,11.6667,92.75,80.94,82,100,21.14
134,Alexandria,EG,2022-08-07 22:10:18,31.2156,29.9553,80.17,73,0,8.14
135,Zhigansk,RU,2022-08-07 22:10:19,66.7697,123.3711,50.59,90,73,16.15
136,Beringovskiy,RU,2022-08-07 22:10:19,63.05,179.3167,44.37,61,31,27.56
137,Cherskiy,RU,2022-08-07 22:10:19,68.75,161.3,44.2,60,94,1.92
138,Honiara,SB,2022-08-07 22:10:20,-9.4333,159.95,82.83,73,93,1.39
139,Lipari,IT,2022-08-07 22:11:20,38.4674,14.954,82.33,72,18,7.31
140,Sabha,LY,2022-08-07 22:11:21,27.0377,14.4283,86.02,19,0,12.03
141,Hirara,JP,2022-08-07 22:11:21,24.8,125.2833,79.07,94,20,4.61
