City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mago,RU,53.2514,140.1822,65.75,90,100,7.56,overcast clouds
79,Vanavara,RU,60.34,102.2797,53.6,88,90,2.55,overcast clouds
80,Boyuibe,BO,-20.4167,-63.2833,64.26,73,100,3.09,overcast clouds
81,Nouadhibou,MR,20.931,-17.0347,71.76,90,54,15.35,broken clouds
82,Cervo,ES,43.6702,-7.4101,65.97,86,85,12.84,overcast clouds
83,Dikson,RU,73.5069,80.5464,42.03,100,100,9.98,light rain
84,Aswan,EG,24.0934,32.907,92.21,21,4,14.05,clear sky
85,Halifax,CA,44.6453,-63.5724,80.53,78,78,4.0,broken clouds
86,Saint George,US,37.1041,-113.5841,102.94,14,0,8.99,clear sky
87,Ndungu,TZ,-4.3667,38.05,62.15,88,62,1.72,broken clouds
88,Skjold,DK,55.7971,9.9397,55.85,90,69,7.4,broken clouds
89,Yellowknife,CA,62.456,-114.3525,63.12,67,75,3.44,broken clouds
90,Victoria,HK,22.2855,114.1577,84.38,85,76,8.01,broken clouds
91,Itarema,BR,-2.9248,-39.9167,78.13,80,33,17.02,scattered clouds
92,Loiza,PR,18.4313,-65.8802,83.07,93,40,13.8,scattered clouds
93,Avarua,CK,-21.2078,-159.775,75.25,60,20,17.27,few clouds
94,Husavik,IS,66.0449,-17.3389,52.29,95,98,3.09,moderate rain
95,Mount Gambier,AU,-37.8333,140.7667,44.29,80,32,4.29,scattered clouds
96,Polazna,RU,58.2946,56.4055,61.99,73,92,0.11,overcast clouds
97,Georgetown,MY,5.4112,100.3354,80.89,89,20,0.0,few clouds
98,Berlevag,NO,70.8578,29.0864,50.0,87,100,13.8,light rain
99,Japura,ID,-0.3167,102.35,73.35,96,40,1.83,scattered clouds
100,Palu,ID,-0.8917,119.8707,75.7,95,100,1.63,light rain
101,Redwater,US,33.3582,-94.2544,97.43,46,96,3.53,overcast clouds
102,Nelson Bay,AU,-32.7167,152.15,57.99,94,76,11.01,light rain
103,Mantenopolis,BR,-18.8625,-41.1228,70.16,55,3,6.13,clear sky
104,Komsomolskiy,UZ,40.4272,71.7189,78.35,26,10,1.68,clear sky
105,Bandarbeyla,SO,9.4942,50.8122,75.96,73,5,30.36,clear sky
106,Kalabo,ZM,-14.97,22.6814,58.05,30,0,5.08,clear sky
107,Ushuaia,AR,-54.8,-68.3,35.26,75,0,9.22,clear sky
108,Lompoc,US,34.6391,-120.4579,85.78,65,0,23.0,clear sky
109,Vila,PT,42.0304,-8.1588,62.71,84,4,0.65,clear sky
110,Yelanskiy,RU,56.8419,62.5014,63.0,88,68,1.66,broken clouds
111,Nishihara,JP,26.1842,127.7558,85.68,74,20,5.75,few clouds
112,Dunedin,NZ,-45.8742,170.5036,43.81,44,85,13.0,overcast clouds
113,Valparaiso,CL,-33.0393,-71.6273,52.48,100,0,0.0,clear sky
114,Bethel,US,41.3712,-73.414,86.09,77,75,12.66,light rain
115,Taoudenni,ML,22.6783,-3.9836,101.89,10,0,9.64,clear sky
116,Chimoio,MZ,-19.1164,33.4833,56.21,86,0,1.25,clear sky
117,Butaritari,KI,3.0707,172.7902,81.9,71,100,15.5,overcast clouds
118,Avera,US,33.194,-82.5271,85.37,53,96,1.03,overcast clouds
119,Erzin,TR,36.9559,36.2,77.25,85,79,4.47,broken clouds
120,Bengkulu,ID,-3.8004,102.2655,74.39,87,10,5.64,clear sky
121,Talnakh,RU,69.4865,88.3972,54.21,95,100,5.79,light rain
122,Kashipur,IN,29.2167,78.95,78.28,81,100,4.25,overcast clouds
